Event,KE_e,x,y,z
455,3.7272,-127.829,21.256,215
456,3.40239,75.5736,-515,-160.039
457,2.50181,-417.556,-122.214,-515
458,0.169756,-515,-435.257,-106.071
459,2.83727,-515,230.369,180.727
460,2.0058,-152.029,-146.704,215
461,2.47704,-183.017,246.158,215
462,0.526902,-37.1951,-515,89.0566
463,1.77503,-270.568,-158.581,-515
464,0.719727,515,513.904,-401.662
465,4.0075,227.36,515,35.4142
466,3.69504,72.4569,-101.12,215
467,3.52717,86.5629,515,-259.744
468,4.25555,332.476,487.615,-515
469,6.20453,26.3008,515,-448.172
470,6.45519,177.527,515,-338.334
471,5.03236,-515,-325.424,-174.78
472,6.3169,-69.7593,-178.139,-515
473,2.20131,515,-17.9623,102.758
474,3.61213,-41.0789,515,-15.8517
475,7.15897,-359.79,-515,128.477
476,5.24322,17.4563,-515,-294.972
477,2.77371,515,303.613,-40.1486
478,7.59148,204.624,-233.049,215
479,1.12706,-515,-287.913,43.792
480,2.08522,-325.781,70.6613,215
481,6.82867,-53.6716,-168.284,215
482,5.32356,515,250.036,-85.0553
483,3.95785,230.439,515,45.1332
484,3.16535,138.718,-49.0662,215
485,0.451025,-316.275,515,-72.9961
486,1.54854,-278.012,-67.9915,215
487,1.73563,-515,-403.764,168.535
488,5.06577,-240.497,-4.21818,215
489,8.93939,-316.631,95.3065,-515
490,1.6217,-453.598,439.789,215
491,3.04138,-515,-451.183,-354.59
492,0.609772,-448.093,-192.168,-515
493,5.88305,225.706,-350.021,215
494,2.1826,105.846,-89.9571,215
495,4.86773,308.662,171.413,-515
496,4.54365,-119.5,515,-210.212
497,0.82198,-128.14,515,37.011
498,4.54959,353.972,-48.4518,215
499,6.0588,515,285.406,-17.4568
500,0.449625,314.787,-515,-127.023
501,0.372042,9.1257,-62.3647,215
502,2.44838,-515,-106.94,210.573
503,5.62384,66.4833,-515,-108.475
504,4.77678,-243.758,-515,-344.457
505,3.36803,515,390.742,-399.376
506,7.32077,167.371,198.728,215
507,5.29108,-515,285.32,-286.154
508,4.69744,-65.4938,515,-55.0056
509,4.225,187.96,115.811,215
510,5.74027,-515,-315.098,-151.524
511,3.83736,-515,-55.2853,20.048
512,5.55588,129.115,515,125.081
513,4.37775,341.67,-515,-198.421
514,6.73213,112.001,-515,-209.232
515,1.20196,164.633,-3.86724,215
516,3.01727,-485.461,-515,-146.961
517,4.39813,-71.6895,515,-148.468
518,5.20555,38.7728,136.314,-515
519,6.36304,-326.18,253.211,-515
520,1.55563,515,-63.8589,142.79
521,0.355048,515,51.8052,-218.302
522,4.20475,17.7811,-4.7057,-515
523,3.87093,-515,94.599,192.708
524,8.63751,88.7276,-223.425,-515
525,3.2117,515,174.815,-148.94
526,7.50944,515,-414.845,-169.379
527,2.97263,-368.544,515,-453.229
528,5.0683,339.025,515,19.1361
529,4.71755,-109.74,-27.7298,215
530,0.207821,-214.299,71.2768,215
531,0.486323,515,-195.135,-141.936
532,5.71526,-338.627,70.9063,215
533,0.760414,515,121.629,85.4078
534,2.32443,152.496,515,-278.349
535,3.24156,43.9195,-515,151.091
536,6.23101,-87.817,140.614,215
537,5.10937,515,434.496,-272.873
538,1.01598,56.0415,515,116.787
539,5.19789,-30.7126,53.3492,215
540,5.42674,-267.993,515,-161.645
541,5.67849,-294.813,515,-83.6786
542,0.871949,349.992,-21.6624,215
543,0.151768,-515,79.7057,-74.8944
544,4.93679,515,154.954,-91.7644
545,0.745203,-515,-514.334,-449.147
546,1.29294,125.55,-28.9555,215
547,6.71466,-225.929,408.543,-515
548,0.606897,-515,371.299,-132.425
549,7.58296,-92.9245,252.69,215
550,3.41864,-515,379.125,45.3569
551,2.17176,-342.994,-293.524,215
552,0.600704,515,-139.716,-471.77
553,2.96502,92.5979,106.568,-515
554,1.94954,377.713,-515,160.487
555,3.04878,-515,-97.2485,46.8227
556,0.670761,-515,-323.896,-187.619
557,5.13539,426.565,205.814,215
558,4.18333,336.185,-361.209,-515
559,5.92895,107.437,387.638,-515
560,1.3111,330.748,381.464,-515
561,3.93199,-515,33.661,-224.482
562,0.364838,515,-327.48,-241.672
563,0.247865,-515,-109.795,-58.8566
564,2.98008,-277.176,312.813,215
565,4.88448,116.622,-53.359,215
566,5.13241,-138.642,136.073,215
567,3.01611,-153.157,-127.044,215
568,1.37437,-126.671,97.9144,215
569,3.02947,-515,-55.4341,-3.1834
570,4.89471,-43.3793,-515,-337.237
571,6.7008,-515,-290.046,-56.2558
572,0.89978,-57.2519,-404.905,215
573,5.14796,-220.725,233.158,215
574,2.03016,-249.865,288.142,215
575,5.42512,-400.55,-129.54,-515
576,5.26648,384.184,-203.539,-515
577,4.67398,-23.3254,-37.2501,215
578,1.4206,-218.195,515,-290.391
579,4.88116,515,348.224,9.53462
580,2.89999,254.388,515,86.6719
581,3.28672,-515,197.341,-339.439
582,5.74563,39.1876,-87.1774,215
583,5.97763,-278.189,115.804,215
584,2.10737,-235.841,-30.3633,215
585,2.68758,-515,48.7428,106.697
586,1.69741,-54.0991,98.8464,215
587,4.19214,285.161,-515,-204.562
588,2.4158,203.562,-37.7026,215
589,7.44269,-136.783,-97.2013,215
590,3.51723,-369.752,405.742,215
591,3.56835,-403.698,-472.288,-515
592,0.00412538,-80.3338,-515,-440.547
593,3.55429,-14.4494,3.88572,215
594,9.38219,-187.027,-378.867,215
595,4.0498,65.6855,515,-222.915
596,3.5204,41.2996,-515,-258.804
597,1.67079,-155.862,-515,77.2328
598,7.41289,515,490.096,-334.833
599,3.42439,-10.3795,-412.127,-515
600,7.51615,-340.12,515,-326.172
601,1.17185,-515,-335.416,-399.731
602,2.43306,186.543,412.586,-515
603,5.11228,-117.186,51.6019,-515
604,4.71952,-98.6224,-515,-263.236
605,7.74016,258.959,-26.2519,215
606,0.998644,-515,204.303,-160.026
607,1.757,505.356,515,5.3981
608,1.41709,194.014,14.0017,215
609,0.708596,-61.9044,-515,-143.754
610,9.04378,-502.374,-14.3786,215
611,2.21448,79.6253,-368.201,215
612,0.477454,72.1082,-54.053,215
613,2.40032,-515,238.25,193.645
614,4.89808,-263.279,-93.7639,215
615,5.45722,-252.431,155.646,-515
616,5.47762,151.888,240.974,-515
617,0.856449,7.51714,1.66899,215
618,8.42212,-515,68.4492,-59.3091
619,2.56917,229.442,-515,-216.266
620,2.71535,-380.007,-515,-349.904
621,0.37102,413.745,-515,-101.51
622,0.190066,113.772,-88.5948,-515
623,6.69462,84.2668,515,-6.60083
624,4.14898,-1.37275,515,166.679
625,0.951615,225.243,-515,-443.363
626,6.8311,-515,320.865,-417.15
627,6.00269,-97.2351,-515,-264.442
628,1.22348,370.547,515,-3.69912
629,5.99722,-68.6559,-5.42887,215
630,5.92539,88.101,-79.6976,215
631,4.40152,300.481,45.4741,-515
632,3.766,331.499,124.91,215
633,5.36585,-169.879,45.5878,215
634,7.55409,205.548,437.61,215
635,7.56757,-121.394,-515,-114.528
636,4.92219,375.297,151.617,-515
637,3.17392,-113.6,-96.8813,215
638,6.0533,370.554,-515,69.0217
639,1.8813,515,9.68793,91.1783
640,3.26048,-432.155,459.174,-515
641,7.09997,-237.696,326.345,215
642,2.09072,-259.788,-515,53.1144
643,8.39565,-515,-73.9995,-241.381
644,6.12489,-273.051,515,-199.85
645,5.98982,-98.4154,56.4465,-515
646,5.76203,96.5513,58.1974,215
647,3.95512,2.95407,-428.807,-515
648,6.34787,515,463.441,56.1523
649,0.348558,-496.707,-6.63455,-515
650,0.0672075,-73.9685,152.521,215
651,3.31508,7.19352,-189.55,-515
652,3.90543,181.095,255.152,-515
653,0.0969224,33.8635,-22.7865,215
654,6.66708,-189.594,-515,173.299
655,3.12653,-150.112,-515,-156.802
656,4.65598,-515,-131.532,-304.802
657,0.094193,314.648,353.749,215
658,6.88007,287.912,515,168.2
659,6.24712,55.713,-85.3462,215
660,6.05293,-515,1.70769,-405.023
661,6.17614,-76.9302,515,-208.669
662,5.66414,515,381.378,-65.5882
663,1.8991,515,396.325,-487.476
664,5.26378,-515,477.48,-266.718
665,4.94142,-146.791,216.147,215
666,1.91672,-32.4175,-91.2056,215
667,3.37554,119.3,-55.0136,215
668,4.03505,144.679,515,-499.33
669,2.4075,473.478,-66.3241,-515
670,6.5821,-9.3197,-266.292,215
671,4.23562,-151.476,303.342,-515
672,6.31166,-411.311,515,133.851
673,7.54127,62.0351,245.869,-515
674,5.47153,515,289.746,-83.3155
675,0.626479,141.001,515,-176.169
676,1.2323,257.028,-515,-390.901
677,4.13736,-515,378.875,-4.70646
678,0.689638,-397.088,277.764,215
679,3.69881,-23.3223,208.039,215
680,3.51581,-93.2904,289.615,215
681,8.34012,-119.741,30.5828,215
682,6.31083,-472.525,310.961,215
683,4.13312,111.638,515,-235.392
684,3.54957,233.342,310.655,215
685,0.620692,-242.796,371.985,215
686,5.20151,515,-286.659,28.4934
687,1.97585,-515,176.151,-209.934
688,0.902365,-143.113,104.343,215
689,2.84798,515,443.701,-273.873
690,6.7146,341.065,133.889,-515
691,1.53072,-515,-511.335,-84.969
692,2.77061,-32.9684,-294.259,-515
693,3.01462,-140.822,-515,-477.624
694,2.66056,54.5365,249.22,-515
695,1.17426,515,-210.051,20.7735
696,0.0243643,-515,386.632,-151.333
697,2.98308,-187.756,395.895,215
698,4.08694,-515,421.068,-55.5427
699,4.18732,-291.213,515,-190.579
700,9.00944,371.449,-515,-457.372
701,0.768696,111.384,-75.3409,215
702,7.64152,100.927,-422.292,-515
703,4.51079,247.996,-515,-6.06494
704,3.68585,515,335.29,-366.338
705,3.08837,229.647,216.081,215
706,5.25098,515,-311.518,146.736
707,4.73139,241.482,515,97.6553
708,3.52556,515,-21.5906,49.4801
709,5.61361,48.5413,-8.8476,215
710,2.05662,-92.2102,-305.913,-515
711,2.91642,-364.065,-515,102.253
712,2.22326,-94.9942,-242.664,215
713,2.64654,78.1684,191.843,-515
714,6.08765,-354.737,-396.253,215
715,1.33091,-140.128,-146.343,215
716,0.99109,515,257.384,-267.562
717,2.69723,86.8138,-106.481,215
718,0.077406,-22.1059,40.9152,215
719,2.3931,135.287,147.561,215
720,1.26137,-515,297.15,-282.964
721,3.98891,-264.877,-513.672,215
722,8.7584,515,-229.356,-23.816
723,0.499986,-515,-279.448,-128.349
724,4.48317,364.604,-459.32,-515
725,4.92766,515,16.7461,-129.53
726,5.16257,328.663,-515,70.6359
727,2.93852,-478.239,304.734,-515
728,5.57482,515,99.3874,110.38
729,0.59951,515,-254.277,-369.654
730,7.06457,42.0983,-406.568,215
